Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,PreviousOwnerName,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
1.0,,60.0,Rural,55.0,None,,Electricity,True,False,2021-12-25,White,Maria,False,Good,Poor,Good,Excellent,5.0,3.76,,Wood H3TM Window,176.86619
,1.0,95.0,Suburbann,59.0,Good,False,Gas,False,True,2021-08-16,White,Laura,False,Excellent,Poor,Good,Excellent,15.0,3.0,,Wood BZO3WXI,134.52687
1.0,1.0,45.0,,55.0,Good,True,Electricity,False,True,2020-06-29,Gray,Maria,False,Good,Excellent,Poor,Poor,15.0,1.29,,U1B6OE Aluminum YDU,90.42916
,,,,,,,,,,,,,,,,,,,,,,
1.0,2.0,100.0,Urban,33.0,None,False,Electricity,True,False,2023-01-20,,Sabrina,False,Good,Poor,Good,Poor,5.0,2.52,60.0,Steel DJEBR,198.35521
3.0,,129.0,Rural,70.0,None,False,Oil,False,False,2023-03-07,Gray,Stefan,False,Excellent,Poor,Poor,Excellent,5.0,2.37,,Aluminum AS6 Window,278.98607
1.0,2.0,136.0,Rural,42.0,None,False,Oil Heating,True,False,2022-02-21,White,Natalie,False,Good,Good,Good,Excellent,5.0,3.88,,Aluminum P15,295.27823
1.0,2.0,59.0,Urban,60.0,None,,Electric,False,True,2023-07-31,White,Florian,False,Excellent,Excellent,Poor,Good,5.0,3.29,36.6,ZPH Aluminum 8Z60HJT,95.02482
1.0,1.0,36.0,,39.0,None,True,Gas,True,True,2022-02-02,Yellow,,False,Good,Good,Poor,Good,5.0,3.19,35.0,Wood LJDV1KV,128.89631
1.0,1.0,84.0,Suburban,46.0,None,False,Oil,True,False,2023-09-01,Gray,Martin,False,Good,Poor,Good,Excellent,5.0,2.56,134.4,Wood BDW Window,112.88862
1.0,1.0,44.0,Rural,61.0,Good,True,Oil,False,True,2023-12-01,Yellow,Lukas,False,Poor,Excellent,Poor,Good,15.0,3.62,72.0,I9QZ Wood D9NZJF Window,244.51643
,5.0,129.0,Urban,39.0,Good,False,Electricity,False,True,2023-08-28,White,Natalie,False,Excellent,Excellent,Good,Poor,15.0,2.13,,Wood M215,271.41913
,1.0,45.0,Urban,52.0,Poor,False,Gas,True,True,2022-09-07,Green,Daniel,False,Poor,Good,Good,Excellent,11.0,1.95,,Aluminum 3CZJC3J,110.2664
2.0,3.0,123.0,Urban,63.0,None,False,Oil,False,True,2022-11-24,White,Florian,False,Good,Good,Good,Poor,5.0,1.85,198.4,Q2H Wood 0643H,273.67624
,,41.0,Urban,47.0,None,False,Oil,True,False,2021-01-25,,Maria,False,Good,Good,Poor,Poor,5.0,1.61,,Wood P67,116.14998
1.0,1.0,27.0,Urban,,Good,,Electricity,True,False,2020-01-17,White,,False,Excellent,Good,Poor,Excellent,15.0,3.49,,Steel RORF5TV,151.14078
,4.0,146.0,Rural,,Good,False,Electricity,True,False,2021-06-01,White,,False,Excellent,Good,Excellent,Excellent,15.0,2.75,,UO8 Wood P1LC Window,337.5958
1.0,1.0,43.0,Rural,6.0,None,,Oil,True,True,2023-05-08,Gray,Denis,False,Good,Good,Excellent,Excellent,5.0,1.24,68.8,Wood H7M0Z Window,259.45715
,,,,,,,,,,,,,,,,,,,,,,
2.0,1.0,120.0,Urban,,Good,,Electricity,True,True,2022-03-09,Gray,Maria,False,Good,Excellent,Excellent,Excellent,15.0,1.22,72.0,Steel RNPPET6,297.65825
2.0,2.0,78.0,Rural,54.0,None,,Oil Heating,True,False,2021-01-11,Green,Sabrina,False,Good,Good,Excellent,Good,5.0,1.91,123.2,AZ8 Steel B6EJ71N,308.02858
1.0,2.0,101.0,,,None,False,Electric,True,True,2020-07-20,White,Martin,False,Poor,Good,Good,Excellent,5.0,2.07,,Wood RQPCP,104.94337
1.0,1.0,51.0,Suburban,63.0,None,False,Oil Heating,True,True,2021-12-17,Yellow,,False,Poor,Good,Excellent,Good,5.0,1.37,83.2,Wood KLJIY Window,98.78932
1.0,,29.0,Urban,38.0,None,False,Gas,False,True,2023-06-23,Green,Martin,False,Poor,Excellent,Excellent,Good,5.0,1.76,30.0,ZBTF Steel W0R85R Window,181.45622
1.0,1.0,44.0,Suburbann,65.0,None,True,Oil,True,True,2020-06-24,White,Sandra,False,Good,Good,Good,Excellent,5.0,2.84,68.8,RZWL Steel X3X6 Window,119.69511
3.0,1.0,107.0,,66.0,Good,,Electricity,True,False,2020-04-30,Gray,Stefan,False,Good,Good,Poor,Good,15.0,2.54,,4FZR Steel OAJS1D Window,300.2369
1.0,1.0,46.0,Urban,53.0,None,False,Gas,False,False,2022-10-28,Gray,Sabrina,False,Good,Poor,Good,Poor,5.0,1.29,,X2VP Steel 1FEI Window,145.10256
3.0,,111.0,Urban,17.0,None,False,Gas,False,False,2023-08-03,Green,,False,Excellent,Good,Good,Poor,5.0,1.96,,Steel I14J,247.65625
1.0,2.0,93.0,Suburbann,51.0,Good,,Oil,False,False,2022-01-04,,Denis,False,Good,Excellent,Good,Good,15.0,2.42,,AMFWI3 Steel 3XQ6,154.66808
,1.0,68.0,Suburban,18.0,None,False,Oil,False,False,2021-03-05,White,Martin,False,Good,Excellent,Excellent,Good,5.0,2.82,105.6,Steel NJUM8B2,121.91955
1.0,1.0,86.0,Suburbann,33.0,None,False,Electric,True,False,2021-09-25,Yellow,Maria,False,Poor,Excellent,Good,Excellent,5.0,1.91,,5AP Wood 8ZO,89.28951
,1.0,133.0,Rural,,None,,Gas,False,True,2021-03-21,Gray,,False,Good,Poor,Poor,Poor,5.0,2.23,133.0,Steel 70K,368.25756
2.0,1.0,98.0,Suburban,49.0,None,False,Oil,False,True,2022-03-05,Gray,Denis,False,Poor,Good,Good,Poor,5.0,2.13,155.2,Steel 80671 Window,161.48544
1.0,1.0,23.0,,70.0,None,False,Oil,False,True,2023-10-05,White,Martin,False,Good,Good,Good,Good,5.0,1.98,36.8,Wood T7S,67.86184
3.0,2.0,149.0,Rural,30.0,None,True,Gas,False,True,2021-10-21,,Theresa,False,Poor,Poor,Excellent,Poor,5.0,2.17,148.0,AGBFGM Wood R4RZ5C Window,356.16038
1.0,1.0,26.0,Rural,52.0,Excellent,False,Electricity,False,True,2022-07-15,Gray,Johanna,False,Poor,Excellent,Excellent,Excellent,39.0,1.22,15.6,DP7L Steel 9JZC,361.61489
2.0,1.0,71.0,Suburban,51.0,Good,False,Gas,True,True,2021-09-16,White,Andreas,False,Good,Good,Poor,Good,15.0,2.28,,HEKI Wood JSJ Window,119.57191
,1.0,22.0,Rural,13.0,Good,,Oil Heating,True,True,2020-07-24,,Theresa,False,Good,Good,Good,Excellent,15.0,2.16,35.2,CMC5 Steel 084,298.00026
2.0,2.0,96.0,Rural,26.0,Good,False,Electricity,False,True,2020-10-04,Gray,Lukas,False,Good,Excellent,Excellent,Excellent,15.0,2.52,57.6,Wood GPR,312.02419
1.0,,25.0,Suburbann,23.0,Good,True,Gas,False,True,2020-04-02,Green,Laura,False,Good,Good,Good,Good,15.0,2.06,27.0,Aluminum PV42OI,55.48598
2.0,1.0,95.0,Rural,,Poor,,Oil,False,False,2022-05-24,Green,Andreas,False,Poor,Excellent,Good,Good,11.0,2.67,155.2,JZ9XJX Aluminum KQAVF Window,213.9459
2.0,1.0,95.0,Rural,42.0,None,False,Oil Heating,False,False,2022-01-17,White,Sabrina,False,Good,Good,Good,Excellent,5.0,1.78,,Wood 86V4 Window,271.81987
2.0,,96.0,Urban,,None,False,Oil Heating,False,True,2021-07-22,White,Florian,False,Excellent,Excellent,Good,Good,5.0,2.08,,D2B Steel IGXN,273.00129
1.0,2.0,63.0,Rural,22.0,None,False,Gas,True,True,2022-10-07,Green,Lukas,False,Poor,Good,Good,Good,5.0,1.54,63.0,Steel 0NBKHMM,315.40889
1.0,1.0,41.0,Rural,40.0,Good,,Electricity,False,False,2023-02-09,Green,Stefan,False,Excellent,Excellent,Excellent,Poor,15.0,3.46,24.0,2TP Steel R3ETEK3 Window,253.11639
,,50.0,Rural,64.0,Good,,Oil Heating,False,True,2021-05-13,Green,Maria,False,Excellent,Good,Good,Good,15.0,2.87,80.0,Steel JLB,325.93149
1.0,1.0,56.0,Urban,,None,True,Gas,False,False,2023-05-04,White,Denis,False,Poor,Excellent,Excellent,Good,5.0,3.78,,WLOYGY Steel W3QUF,165.09758
2.0,1.0,124.0,,20.0,None,False,Gas,False,True,2023-06-15,Yellow,Maria,False,Good,Good,Excellent,Poor,5.0,2.37,123.0,NF3JGJE Aluminum TV7EI,188.77741
1.0,1.0,-267.0,,,Excellent,False,Electric,False,True,2021-03-21,Gray,Sandra,False,Poor,Excellent,Excellent,Good,39.0,1.23,16.2,Aluminum NSX,136.8054
2.0,1.0,64.0,Urban,39.0,Good,True,Gas,False,False,2021-08-25,Gray,Andreas,False,Good,Poor,Excellent,Excellent,15.0,1.75,65.0,3OMM Aluminum 3NRDK1 Window,120.54836
1.0,2.0,75.0,Suburbann,22.0,None,False,Gas,False,True,2021-06-18,Yellow,Natalie,False,Excellent,Excellent,Excellent,Good,5.0,3.58,,Steel MNEBWF Window,146.90012
,1.0,116.0,Urban,50.0,None,False,Oil,False,False,2022-03-07,Yellow,Sandra,False,Excellent,Good,Excellent,Good,5.0,1.81,,Steel USCASO,262.94001
1.0,1.0,32.0,Urban,59.0,Good,False,Oil Heating,False,False,2021-08-14,Yellow,Martin,False,Excellent,Good,Good,Excellent,15.0,1.57,,Wood CRMKAP Window,137.87355
1.0,1.0,29.0,Suburban,,None,,Oil,False,False,2024-03-02,,Sabrina,False,Excellent,Excellent,Good,Excellent,5.0,2.58,,Steel S40CD,97.23119
,1.0,43.0,Suburbann,10.0,None,,Oil,False,True,2022-08-16,,Johanna,False,Good,Excellent,Poor,Excellent,5.0,1.86,,VYK Steel UOX5N,129.15623
5.0,3.0,143.0,Rural,40.0,None,,Oil,False,False,2020-04-07,Green,Daniel,False,Excellent,Good,Good,Good,5.0,2.14,,Steel 8Z4J,423.59265
1.0,1.0,100.0,Urban,61.0,Good,,Gas,False,True,2022-12-11,Green,Daniel,False,Excellent,Good,Excellent,Poor,15.0,3.37,,Aluminum B40,180.14923
5.0,4.0,142.0,Urban,13.0,Good,False,Gas,False,True,2021-05-05,Yellow,Johanna,False,Good,Good,Excellent,Excellent,15.0,2.89,,Q8W0W Aluminum GDL Window,268.30595
3.0,1.0,114.0,Suburbann,48.0,Good,False,Oil Heating,True,True,2022-04-22,,Andreas,False,Poor,Good,Excellent,Good,15.0,2.88,182.4,Aluminum 2DX8A Window,149.72511
2.0,1.0,80.0,Suburbann,66.0,None,False,Electricity,True,True,2023-12-27,Green,Daniel,False,Good,Poor,Excellent,Good,5.0,3.37,,Wood QD2K,103.30538
3.0,2.0,103.0,Urban,62.0,None,,Oil,False,True,2021-05-17,White,Florian,False,Good,Good,Good,Good,5.0,2.17,,0BEKX7 Aluminum U3R7,186.84998
1.0,4.0,135.0,Rural,10.0,None,False,Electricity,False,True,2022-07-28,,Martin,False,Poor,Good,Excellent,Excellent,5.0,2.64,,TZ0WDA9 Steel OOR,405.16013
2.0,1.0,115.0,Rural,47.0,Good,False,Oil Heating,False,False,2023-10-05,Gray,Johanna,False,Excellent,Good,Good,Good,15.0,2.7,,19NW6 Steel F1N4 Window,420.52817
3.0,,124.0,,34.0,Poor,False,Electricity,False,True,2022-01-04,Yellow,Maria,False,Poor,Good,Poor,Poor,11.0,4.45,73.8,Steel FDA,370.64135
2.0,2.0,118.0,Suburban,51.0,None,False,Oil Heating,True,True,2022-12-18,Green,,False,Good,Good,Excellent,Good,5.0,2.61,,LXHQUU Wood JDUX,172.29041
1.0,1.0,31.0,Rural,,None,,Gas,False,True,2023-09-13,Green,Florian,False,Poor,Good,Good,Good,5.0,1.88,30.0,Wood CX84WH Window,147.14603
3.0,,117.0,Rural,30.0,Good,False,Oil Heating,False,False,2023-05-16,White,Lukas,False,Excellent,Poor,Excellent,Good,15.0,2.05,,UTN2OHL Steel 6RM6AHO Window,435.88115
2.0,3.0,101.0,Suburbann,49.0,Good,False,Gas,False,True,2023-02-18,Green,,False,Good,Good,Good,Excellent,15.0,2.66,,Aluminum KUFG,119.29858
2.0,1.0,92.0,,24.0,None,,Oil,True,False,2020-03-12,Yellow,Roman,False,Good,Poor,Excellent,Poor,5.0,2.84,,Steel ASKQ2 Window,135.50608
2.0,1.0,72.0,,47.0,Good,,Electricity,True,True,2022-07-07,Green,Johanna,False,Good,Poor,Good,Good,15.0,1.68,,OFL Aluminum 93S8DR Window,83.22484
1.0,1.0,33.0,Suburban,16.0,None,True,Oil,True,False,2020-01-25,Green,Natalie,False,Excellent,Good,Good,Poor,5.0,2.29,56.0,Wood G6BGB Window,72.63349
1.0,1.0,39.0,Urban,25.0,None,False,Electric,True,True,2023-05-11,Gray,Laura,False,Good,Poor,Excellent,Poor,5.0,1.08,24.0,Aluminum 602WIB Window,80.92236
,2.0,138.0,Suburban,-97.0,None,True,Electric,False,True,2023-10-26,Gray,Daniel,False,Good,Good,Excellent,Good,5.0,2.65,82.8,Wood 9MR29F,138.57204
,1.0,43.0,Urban,32.0,Poor,,Oil Heating,True,True,2024-02-20,Yellow,Daniel,False,Good,Good,Poor,Good,11.0,2.04,,OSNK Aluminum LDHG Window,124.31137
5.0,,136.0,Rural,56.0,Excellent,False,Gas,True,False,2020-02-18,White,Lukas,False,Poor,Poor,Good,Good,39.0,2.09,,Wood YJSYY8 Window,389.76304
2.0,3.0,117.0,Suburbann,37.0,Excellent,,Oil Heating,True,False,2023-04-01,Yellow,Laura,False,Good,Good,Excellent,Excellent,39.0,3.82,187.2,GXCQIAC Steel 6W5,223.26463
1.0,3.0,105.0,,57.0,None,False,Gas,True,True,2023-06-02,,Roman,False,Excellent,Good,Excellent,Excellent,5.0,3.23,,Aluminum MID69 Window,265.08381
1.0,1.0,31.0,Rural,54.0,Excellent,False,Oil Heating,False,True,2023-12-25,Gray,Johanna,False,Good,Good,Good,Excellent,39.0,2.09,48.0,Steel FQMLTER Window,394.90534
,2.0,116.0,Suburban,58.0,Excellent,False,Oil Heating,True,True,2022-10-31,Gray,Laura,False,Good,Poor,Poor,Poor,39.0,1.34,,Wood SQB50E,212.09552
1.0,2.0,81.0,Rural,24.0,None,False,Gas,False,True,2021-03-19,Gray,Maria,False,Good,Poor,Good,Excellent,5.0,2.75,,GUQ Aluminum UGQ,183.01763
1.0,2.0,76.0,Urban,,Good,,Gas,True,True,2022-02-07,White,Sandra,False,Poor,Excellent,Excellent,Poor,15.0,2.85,76.0,GI7 Aluminum 2EDKUM Window,154.73644
1.0,3.0,115.0,Urban,,Excellent,,Electricity,True,False,2023-06-07,Green,Theresa,False,Excellent,Good,Good,Poor,39.0,2.6,,Wood WOQ9 Window,242.07099
1.0,,45.0,Rural,34.0,None,True,Electricity,True,True,2021-08-18,Yellow,Andreas,False,Poor,Good,Good,Excellent,5.0,1.85,,G08763S Aluminum BX2,119.15907
3.0,5.0,137.0,Rural,70.0,None,True,Electric,True,True,2021-06-24,White,Sabrina,False,Excellent,Excellent,Excellent,Poor,5.0,1.78,81.6,Steel TLGOLM9,413.18704
1.0,,62.0,Rural,70.0,,,Gas,True,True,2020-11-30,Gray,Martin,False,Good,Excellent,Good,Good,15.0,2.3,63.0,UWZ Aluminum W7B,199.31368
,1.0,43.0,Urban,61.0,Good,False,Oil Heating,True,True,2020-08-31,Yellow,Lukas,False,Excellent,Good,Good,Poor,15.0,2.51,,Steel JKS Window,226.2857
2.0,2.0,73.0,Urban,52.0,None,False,Oil Heating,False,False,2023-08-25,,Stefan,False,Excellent,Good,Excellent,Good,5.0,1.27,,PWJAD Aluminum Z70V5OU Window,136.01735
2.0,,90.0,Rural,25.0,None,True,Gas,True,True,2020-03-04,White,Roman,False,Good,Good,Excellent,Good,5.0,2.34,,RYU4 Aluminum 7I3N,218.83414
,2.0,120.0,Rural,,Good,False,Gas,True,False,2023-08-24,White,Johanna,False,Excellent,Good,Good,Good,15.0,3.33,121.0,Steel B6ZR7 Window,385.80457
1.0,1.0,42.0,Rural,70.0,Good,False,Oil,False,False,2021-03-05,,Sandra,False,Good,Excellent,Excellent,Excellent,15.0,4.83,,Steel 85RX0 Window,265.50624
2.0,,59.0,Suburban,59.0,Excellent,False,Oil,True,True,2023-05-13,Yellow,Maria,False,Poor,Good,Excellent,Excellent,39.0,2.1,96.0,WDC39SZ Steel 5S4 Window,203.31264
1.0,2.0,97.0,Rural,25.0,Good,False,Oil Heating,False,False,2024-03-01,,Theresa,False,Good,Poor,Good,Excellent,15.0,2.32,155.2,JDXRSKQ Aluminum V9GN50,262.87337
,2.0,133.0,Urban,21.0,Good,False,Electric,False,True,2023-05-07,,Stefan,False,Poor,Good,Poor,Good,15.0,1.02,,4AP6FL3 Aluminum LFS,201.29452
1.0,2.0,68.0,Urban,45.0,Good,False,Gas,False,True,2022-09-29,Yellow,Denis,False,Excellent,Excellent,Good,Excellent,15.0,4.78,67.0,ENNZWH Steel 8NYVF Window,264.87924
1.0,1.0,65.0,Urban,62.0,None,True,Electric,False,True,2021-10-14,White,Sandra,False,Good,Good,Good,Excellent,5.0,1.77,39.0,DQ7HULP Wood 7S8A9GS,141.07006
2.0,1.0,106.0,Urban,64.0,None,,Electric,False,True,2022-07-15,White,Sabrina,False,Good,Excellent,Good,Excellent,5.0,2.06,64.2,Steel JCICK1R,244.12481
,1.0,66.0,Suburbann,62.0,None,,Electricity,False,True,2020-02-14,,Maria,False,Excellent,Excellent,Poor,Good,5.0,2.44,39.0,3Y35D Aluminum DN27 Window,53.84105
,2.0,136.0,Suburbann,23.0,Poor,,Oil Heating,False,True,2020-05-13,White,,False,Good,Excellent,Good,Good,11.0,2.94,217.6,Aluminum W9J Window,159.86991
1.0,2.0,86.0,Suburban,66.0,None,False,Electricity,False,True,2024-02-23,Gray,Laura,False,Good,Poor,Poor,Good,5.0,1.08,,4CJ30NW Aluminum 4SEQBT,60.45779
,2.0,65.0,Rural,42.0,None,True,Electricity,True,False,2024-03-18,Yellow,Florian,False,Excellent,Poor,Excellent,Good,5.0,4.51,39.6,Aluminum AQFEW,138.46704
3.0,3.0,149.0,Rural,60.0,None,False,Oil,True,True,2021-11-08,White,Johanna,False,Good,Poor,Poor,Excellent,5.0,3.57,236.8,Wood AST3HOW Window,446.16636
1.0,1.0,83.0,Suburban,27.0,Good,,Electric,True,False,2020-07-30,Yellow,Florian,False,Excellent,Excellent,Poor,Good,15.0,2.66,49.8,BEMSA Steel 7T66BV Window,125.07217
,1.0,95.0,Urban,50.0,None,,Electricity,False,True,2023-02-28,Gray,,False,Poor,Good,Good,Good,5.0,1.72,57.0,C087KI Wood U1W,165.5711
1.0,1.0,55.0,Rural,40.0,Excellent,False,Oil,True,True,2022-07-03,Yellow,Martin,False,Good,Excellent,Excellent,Good,39.0,4.54,88.0,PZKQRP0 Aluminum 1YRBP,318.19507
1.0,1.0,53.0,Suburbann,27.0,None,False,Oil Heating,False,True,2020-09-24,Yellow,Denis,False,Good,Excellent,Good,Good,5.0,2.99,,Wood RKRAO Window,99.16317
,1.0,102.0,Rural,5.0,Good,False,Electricity,True,True,2023-05-30,Green,Florian,False,Good,Excellent,Poor,Poor,15.0,3.46,61.8,Wood 97JRY Window,6560.5542000000005
2.0,2.0,66.0,Urban,63.0,None,,Oil Heating,True,True,2021-09-04,Green,Martin,False,Good,Good,Good,Good,5.0,2.44,,WXHIN Aluminum SFK2,144.95399
1.0,1.0,73.0,,59.0,None,True,Gas,True,True,2023-10-07,Green,Natalie,False,Excellent,Good,Good,Excellent,5.0,3.4,74.0,RLBSTT3 Wood 4O20 Window,115.73753
1.0,1.0,52.0,Rural,46.0,None,,Gas,False,False,2023-01-17,Yellow,Lukas,False,Good,Good,Poor,Good,5.0,3.39,52.0,Aluminum 8UDWPK Window,100.64729
2.0,1.0,73.0,Suburban,26.0,Good,,Gas,False,True,2022-01-02,Yellow,Natalie,False,Good,Excellent,Good,Poor,15.0,2.76,75.0,WXQ7 Wood WOYT Window,123.49808
,1.0,50.0,,,Good,False,Electricity,False,False,2023-11-05,Gray,Martin,False,Excellent,Good,Good,Good,15.0,1.83,,Steel XOKGG,106.19053
1.0,1.0,48.0,Suburban,64.0,None,False,Gas,False,True,2023-09-13,White,Maria,False,Good,Good,Good,Good,5.0,2.56,48.0,Steel CXITFW6 Window,113.38269
2.0,2.0,93.0,Urban,30.0,None,False,Oil,False,True,2022-02-14,Gray,Sabrina,False,Good,Excellent,Good,Good,5.0,1.01,150.4,SZ9R0WT Wood HGAV Window,240.83547
1.0,1.0,130.0,Rural,43.0,Good,,Oil Heating,False,True,2022-02-21,Yellow,,False,Good,Good,Good,Good,15.0,3.53,206.4,RJD9ZA3 Aluminum 30IL83E Window,353.03574
1.0,1.0,118.0,Rural,54.0,None,,Electricity,True,False,2021-11-12,,,False,Good,Good,Poor,Good,5.0,1.32,71.4,26X Wood 06KL69,224.38015
1.0,1.0,51.0,Suburbann,,None,,Oil Heating,False,True,2023-11-30,Gray,,False,Poor,Good,Good,Good,5.0,2.75,,Steel T8UYF Window,118.30122
1.0,1.0,29.0,Suburbann,32.0,None,False,Electric,False,True,2021-09-09,Green,Johanna,False,Poor,Excellent,Excellent,Good,5.0,2.64,,O65PE Steel 6STI,99.58286
,2.0,105.0,Suburban,24.0,None,False,Gas,False,True,2020-03-07,Green,,False,Excellent,Good,Excellent,Good,5.0,1.93,104.0,Steel 1D2BSJ5 Window,161.70704
2.0,2.0,69.0,Rural,36.0,Excellent,,Electricity,False,True,2022-07-22,Gray,Martin,False,Poor,Excellent,Excellent,Excellent,39.0,1.51,,Wood U37KA2,364.54455
2.0,2.0,98.0,Suburbann,44.0,Good,False,Oil Heating,True,True,2023-10-17,Gray,Sabrina,False,Good,Poor,Good,Good,15.0,2.43,,VQ6 Wood 4MH4QD Window,170.66945
